НПК РоТеК,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2015
Космос-Электро,Москва,EME.WMS,WMS,2023
"Синергия, Волгоград",Волгоград,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2016
АСВ-Технологии,Ижевск,ELMA BPM Suite,"BPM,SaaS - Программное обеспечение как услуга",2023
Энергопуск,Москва,АКАМ: Модуль Торги для 1С:CRM,CRM,2022
Электрон – ИТ,Нижний Новгород,Forecast NOW Программа для прогнозирования спроса и управления товарными запасами,"SCM,SRM - Управление взаимоотношениями с поставщиками",2021
Эхо+,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2020
Исткомпис Рус (Eastcompeace Rus),Москва,ELMA BPM Suite,"BPM,SaaS - Программное обеспечение как услуга",2022
ТехноПрист,Санкт-Петербург,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2017
СТП-Сарос (Свето-техническое производство Сарос),Санкт-Петербург,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2020
Новик Энергетика,Санкт-Петербург,ELMA BPM Suite,"BPM,SaaS - Программное обеспечение как услуга",2014
Трион,Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2023
ТЭК-Электроникс (Tec-electronics),Москва,1С:Предприятие 8.0,ERP,2014
НК-Кабель,Саранск,Alexrovich: Модуль Управление отделом продаж для 1С:Предприятие 8 (CRM Alexrovich),CRM,2021
Дорожный контроль,Москва,ELMA BPM Suite,"BPM,SaaS - Программное обеспечение как услуга",2022
Гаоди Рус,Москва,ELMA BPM Suite,"BPM,SaaS - Программное обеспечение как услуга",2020
Базис (Воронеж),Воронеж,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2018
Абсолютные технологии,Москва,Alexrovich: Модуль Управление отделом продаж для 1С:Предприятие 8 (CRM Alexrovich),CRM,2021
НПТ Климатика,Подольск,Okdesk Система учета и регистрации заявок для малых и средних сервисных компаний,"CRM,ITSM - Системы управления IT-службой,SaaS - Программное обеспечение как услуга",2022
Сибэлектростиль+,Иркутск,Alexrovich: Модуль Управление отделом продаж для 1С:Предприятие 8 (CRM Alexrovich),CRM,2023
Рэйдикс (Raidix),Санкт-Петербург,"Docsvision: Кадровый электронный документооборот (КЭДО),Docsvision СЭД/ECM и BPM,Docsvision (СЭД/ECM-система)","HRM,СЭД,BPM",2022
Меркурий-Про,Москва,ELMA365,"BPM,SaaS - Программное обеспечение как услуга",2023
ПК Электрум,Самара,КОМПАС-3D,САПР,2015
Обогрев Люкс,Санкт-Петербург,Alexrovich: Модуль Управление отделом продаж для 1С:Предприятие 8 (CRM Alexrovich),CRM,2020
Люмакс Электроникс,Москва,1С:Предприятие 8. Управление торговлей и взаимоотношениями с клиентами (CRM),CRM,2021
НИЦ Форс,Самара,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2019
Имидж-шоу,Москва,1С:Предприятие 8. Управление торговлей и взаимоотношениями с клиентами (CRM),CRM,2020
Гипрокислород,Москва,"Hexagon PPM Process, Power&Marine (Intergraph),Intergraph SmartPlant P&ID,Intergraph SmartPlant Review",САПР,2016
Элдис,Санкт-Петербург,Cloud4Y IaaS,IaaS - Инфраструктура как услуга,2024
"Сатурн, электротехнический завод",Омск,Syntellect Tessa,"BPM,СЭД",2020
"Крокус НаноЭлектроника, КНЭ (Crocus NanoElectronics)",Москва,1С:ERP Управление предприятием 2,"ERP,SaaS - Программное обеспечение как услуга",2016
Трейд Групп (Термокул),Москва,1С:CRM ПРОФ,CRM,2022
Темпесто (Tempesto),Москва,ELMA CRM+,CRM,2015
ТиЭмСи Рус (TCL),Москва,МТТ Виртуальная АТС,IP-телефония,2022
"РОББО (ранее ScratchDuino, СкретчДуино)",Санкт-Петербург,Robbo LMS (Learning Management System),Системы дистанционного обучения,2021
ВГО Технолоджи (LEDsi),Новосибирск,Creatio (ранее bpm’online),"BPM,CRM,SaaS - Программное обеспечение как услуга",2019
Адвантикс (AdvantiX),Москва,Cloud4Y IaaS,IaaS - Инфраструктура как услуга,2022
Весь свет,Омск,Alexrovich: Модуль Управление отделом продаж для 1С:Предприятие 8 (CRM Alexrovich),CRM,2022
Электрон-опт,Нижний Новгород,1С:Документооборот 8 КОРП,СЭД,2015
Техническая инспекция ЕЭС,Москва,"Visary Low-code платформа (ранее Визари АИС),Visary Project Система управления портфелем проектов,Visary BI Платформа бизнес-аналитики","BPM,ERP,SCM,SRM - Управление взаимоотношениями с поставщиками,SaaS - Программное обеспечение как услуга,Системы управления проектами,BI,Big Data,Data Mining",2023
Техническая инспекция ЕЭС,Москва,"Visary BPM,Visary ERP","BPM,ERP",2023
Техническая инспекция ЕЭС,Москва,"Visary СЭД (Cистема электронного документооборота),Visary ГИС (Геоинформационная система),Visary BIM","SaaS - Программное обеспечение как услуга,СЭД,ГИС - Геоинформационные системы,BIM - Информационное моделирование зданий и сооружений",2021
Техническая инспекция ЕЭС,Москва,LanDocs,СЭД,2013
Техническая инспекция ЕЭС,Москва,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2013
Атомэнергопром,Москва,Форсайт. Аналитическая платформа (ранее Prognoz Platform),BI,2024
Атомэнергопром,Москва,Индивидуальная разработка электронных госуслуг,Информатизация госфункций,2020
Электросеть,Череповец,TrueConf Server,"SaaS - Программное обеспечение как услуга,Видеоконференцсвязь",2019
Электросеть,Череповец,Directum (СЭД/ECM-система),СЭД,2014
Электросеть,Череповец,Security Vision Security Operation Center (SOC),ИБ - Управление информацией и событиями в системе безопасности (SIEM),2013
ТГК-6,Москва,Deductor,"BI,Data Mining,Data Quality - Качество данных,OLAP",2014
ССК (Северная сбытовая компания),Вологда,Cloud4Y IaaS,IaaS - Инфраструктура как услуга,2022
ССК (Северная сбытовая компания),Вологда,Oracle Utilities Customer Care & Billing,"BI,BPM,SRM - Управление взаимоотношениями с поставщиками,Биллинговые системы",2019
ССК (Северная сбытовая компания),Вологда,Проекты ИТ-аутсорсинга,ИТ-аутсорсинг,2019
ТГК-11,Новосибирск,TRIM,"EAM,SaaS - Программное обеспечение как услуга",2014
ТГК-11,Новосибирск,1С:ITIL. Управление информационными технологиями,ITSM - Системы управления IT-службой,2013
Пензенская горэлектросеть,Пенза,"ELMA BPM Suite,ELMA CRM+,ELMA ECM+","BPM,SaaS - Программное обеспечение как услуга,CRM,СЭД",2020
Пензенская горэлектросеть,Пенза,"1С:Предприятие 8. Энергетика. Управление распределительной сетевой компанией,1С:Предприятие 8. ERP Энергетика 2","АСУ ТП,ERP",2013
Промэнергосбыт,Балаково,Directum (СЭД/ECM-система),СЭД,2015
