Компания,Город,name,region.y,industry,size_cat,year,code_okved,firts_number_okved,ind,employees,income,expenses,receivables,assets,passive,nwc,equity,total_debt,sales,cgs,commercial,ebt,eat,ebit,labor_costs,net_profit_margin,ros
Аскон-Интеграционные Решения,Санкт-Петербург,"АСКОН-ИНТЕГРАЦИОННЫЕ РЕШЕНИЯ, ООО",Санкт-Петербург,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",Малые предприятия,2017,62.09,62.0,informacionnye_tehnologii,18.0,462585.0,402100.0,55536.0,148203.0,148203.0,76089.0,100582.0,47621.0,361111.0,240941.0,72506.0,60485.0,62638.0,-8788.0,97189.0,0.0,-0.0
Аскон-Системы Проектирования,Санкт-Петербург,"АСКОН-СИСТЕМЫ ПРОЕКТИРОВАНИЯ, ООО",Санкт-Петербург,Разработка компьютерного программного обеспечения,Средние предприятия,2017,62.01,62.0,informacionnye_tehnologii,36.0,834380.0,616222.0,136798.0,1059861.0,1059861.0,184027.0,899735.0,160125.0,792904.0,196309.0,166876.0,218159.0,204723.0,215375.0,97520.0,0.0,0.0
Аскрин (Ascreen),Санкт-Петербург,"АСКРИН, ООО",Санкт-Петербург,Торговля оптовая прочей офисной техникой и оборудованием,Средние предприятия,2016,46.66,46.0,informacionnye_tehnologii,73.0,898448.0,866011.0,155392.0,363980.0,363980.0,24259.0,42962.0,321019.0,738916.0,610951.0,24507.0,28789.0,22324.0,28220.0,125680.0,0.0,0.0
Аспен Хэлс (Aspen),Москва,"АСПЕН ХЭЛС, ООО",Москва,Торговля оптовая фармацевтической продукцией,Средние предприятия,2017,46.46,46.0,farmacevtika,139.0,2513789.0,2429934.0,1441399.0,3374222.0,3374222.0,1734969.0,1903051.0,1471171.0,2459174.0,1579200.0,655665.0,83855.0,59489.0,77875.0,400435.0,0.0,0.0
Астон Консалтинг,Москва,"АСТОН КОНСАЛТИНГ, АО",Москва,Исследование конъюнктуры рынка и изучение общественного мнения,Малые предприятия,2017,73.2,73.0,farmacevtika,72.0,391650.0,348081.0,168986.0,232489.0,232489.0,82949.0,112288.0,120548.0,377473.0,229256.0,7210.0,43569.0,32630.0,40673.0,131962.0,0.0,0.0
Астория,Новосибирск,"АСТОРИЯ, ООО",Новосибирская область,"Торговля оптовая транспортными средствами, кроме автомобилей, мотоциклов и велосипедов",Средние предприятия,2016,46.69.1,46.0,torgovlya,48.0,720599.0,656949.0,78204.0,367472.0,367472.0,268520.0,166018.0,201453.0,651387.0,508360.0,68572.0,61198.0,48893.0,70237.0,35043.0,0.0,0.0
Астрейд,Москва,"АСТРЕЙД, ООО",Москва,Торговля оптовая напитками,Малые предприятия,2018,46.34,46.0,pishhevaya_promyshlennost,14.0,193226.0,184272.0,87541.0,160343.0,160343.0,62247.0,43148.0,117196.0,180776.0,137211.0,32055.0,8950.0,8281.0,11692.0,5680.0,0.0,0.0
АстроМЕД,Ростов-на-Дону,"АСТРОМЕД, ООО",Ростовская область,"Торговля оптовая изделиями, применяемыми в медицинских целях",Малые предприятия,2017,46.46.2,46.0,farmacevtika,20.0,400411.0,365021.0,85347.0,184839.0,184839.0,80261.0,99655.0,85184.0,390404.0,311297.0,96579.0,35390.0,26338.0,15703.0,24413.0,0.0,0.0
Атлант Клиникал (Atlant Clinical),Москва,"АТЛАНТ КЛИНИКАЛ, ООО",Москва,"Технические испытания, исследования, анализ и сертификация",Малые предприятия,2013,71.2,71.0,farmacevtika,70.0,503176.0,498780.0,67629.0,122033.0,122033.0,41938.0,30703.0,91331.0,282364.0,115306.0,5631.0,2812.0,1501.0,6259.0,196136.0,-0.0,0.0
Атомэнергопром,Москва,"АТОМЭНЕРГОПРОМ, АО",Москва,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",Средние предприятия,2013,62.09,62.0,energetika,32.0,,,12355672.0,1714750433.0,1714750433.0,89524280.0,1306799613.0,407950820.0,910121.0,665633.0,56914.0,32507775.0,30610143.0,-15521957.0,139234.0,52.0,-2.0
Атриум Инновейшенс Рус (Atrium Innovations Rus),Москва,"АТРИУМ ИННОВЕЙШЕНС РУС, ООО",Москва,Торговля оптовая фармацевтической продукцией,Средние предприятия,2017,46.46,46.0,pishhevaya_promyshlennost,110.0,1255551.0,1208608.0,305792.0,683937.0,683937.0,247761.0,141377.0,542560.0,1210517.0,625786.0,311600.0,46871.0,31897.0,63556.0,246960.0,0.0,0.0
Аэропорт Абакан,Абакан,"АЭРОПОРТ АБАКАН, АО",Хакасия (Республика),Деятельность аэропортовая,Малые предприятия,2013,52.23.11,52.0,transport,,,,30808.0,160118.0,160118.0,20138.0,58111.0,105178.0,283643.0,267588.0,4806.0,11133.0,9511.0,13356.0,178590.0,0.0,-0.0
