Компания,Город,name,region.y,industry,size_cat,year,code_okved,firts_number_okved,ind,employees,income,expenses,receivables,assets,passive,nwc,equity,total_debt,sales,cgs,commercial,ebt,eat,ebit,labor_costs,net_profit_margin,ros
Н-БНК (BNK Group),Москва,"Н-БНК, ООО",Москва,"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",Малые предприятия,2017,46.73,46.0,torgovlya,16.0,310499.0,287717.0,32300.0,139993.0,139993.0,74722.0,79617.0,60376.0,290968.0,211824.0,43196.0,22782.0,18096.0,23455.0,9006.0,0.0,0.0
Н-Системс,Москва,"Н-СИСТЕМС, ООО",Москва,Разработка компьютерного программного обеспечения,Средние предприятия,2017,62.01,62.0,informacionnye_tehnologii,205.0,1193809.0,1184138.0,308672.0,512156.0,512156.0,166922.0,20977.0,491178.0,845113.0,727577.0,,9671.0,7945.0,17129.0,282758.0,0.0,0.0
НАРД,Москва,"НАРД, ООО",Москва,Торговля оптовая специализированная прочая,Малые предприятия,2013,46.7,46.0,torgovlya,16.0,483344.0,472910.0,31872.0,72814.0,72814.0,44156.0,22788.0,50027.0,272282.0,221012.0,38291.0,8191.0,6576.0,10702.0,2048.0,0.0,0.0
НАТЭК-Нефтехиммаш,Минеральные Воды,"НАТЭК-НЕФТЕХИММАШ, ООО",Ставропольский край,"Производство теплообменных устройств, оборудования для кондиционирования воздуха промышленного холодильного и морозильного оборудования, производство оборудования для фильтрования и очистки газов",Средние предприятия,2017,28.25.1,28.0,metallurgicheskaya_promyshlennost,102.0,972110.0,941216.0,91481.0,676510.0,676510.0,-64553.0,177719.0,498791.0,957507.0,772969.0,,30894.0,24638.0,32245.0,56021.0,0.0,0.0
НВ-ПАК (NW-PACK),Санкт-Петербург,"НВ-ПАК, ООО",Санкт-Петербург,Торговля оптовая неспециализированная,Малые предприятия,2019,46.9,46.0,torgovlya,8.0,103241.0,101641.0,5438.0,23540.0,23540.0,10907.0,2929.0,20611.0,103185.0,99940.0,,1599.0,1282.0,1769.0,,0.0,0.0
НИЦ Форс,Самара,"НИЦ ФОРС, ООО",Самарская область,Производство электромонтажных работ,Средние предприятия,2013,43.21,43.0,elektrotehnika,223.0,1236836.0,1226450.0,280897.0,611156.0,611156.0,225286.0,236670.0,374485.0,1063879.0,938199.0,823.0,16669.0,12744.0,18709.0,161655.0,0.0,0.0
НПК Протэкт,Переславль-Залесский,"НПК ПРОТЭКТ, ООО",Ярославская область,"Производство пластмассовых плит, полос, труб и профилей",Средние предприятия,2013,22.21,22.0,stroitelstvo,207.0,825490.0,742232.0,129424.0,423504.0,423504.0,246893.0,159687.0,263817.0,783471.0,572825.0,67312.0,71970.0,55286.0,89531.0,106930.0,0.0,0.0
НПН,Нижний Новгород,"НПН, ООО",Нижегородская область,"Торговля автомобильными деталями, узлами и принадлежностями",Средние предприятия,2017,45.3,45.0,torgovlya,72.0,1637306.0,1626304.0,381974.0,905766.0,905766.0,142614.0,51303.0,854463.0,1590532.0,1459836.0,103939.0,10937.0,9480.0,17005.0,13389.0,0.0,0.0
НПО ХС Машиностроение,Москва,"НПО ХС МАШИНОСТРОЕНИЕ, ООО",Москва,"Строительство кораблей, судов и плавучих конструкций",Малые предприятия,2018,30.11,30.0,transport,100.0,266665.0,240162.0,77484.0,321335.0,321335.0,63330.0,43524.0,277812.0,233462.0,113288.0,3.0,26503.0,20527.0,30938.0,113521.0,0.0,0.0
НПТ Климатика,Подольск,"НПТ КЛИМАТИКА, ООО",Московская область,Производство промышленного холодильного и вентиляционного оборудования,Средние предприятия,2017,28.25,28.0,elektrotehnika,170.0,1848388.0,1805373.0,460530.0,910570.0,910570.0,551823.0,139945.0,770625.0,1694807.0,1481643.0,,43027.0,32716.0,81966.0,55666.0,0.0,0.0
НПФ Видар,Москва,"НПФ ВИДАР, ООО",Москва,Научные исследования и разработки в области естественных и технических наук прочие,Малые предприятия,2018,72.19,72.0,informacionnye_tehnologii,7.0,120317.0,115201.0,16172.0,80364.0,80364.0,-7751.0,6362.0,80003.0,100547.0,85120.0,17.0,5116.0,4204.0,5116.0,10016.0,0.0,0.0
Нафта Групп,Екатеринбург,"НАФТА ГРУПП, ООО",Свердловская область,Деятельность автомобильного грузового транспорта,Малые предприятия,2017,49.41,49.0,neftyanaya_promyshlennost,20.0,843766.0,842366.0,102455.0,390046.0,390046.0,55586.0,27888.0,362158.0,814002.0,707204.0,100434.0,1400.0,-954.0,8434.0,12096.0,0.0,0.0
Национальная газовая компания,Москва,"НАЦИОНАЛЬНАЯ ГАЗОВАЯ КОМПАНИЯ, ЗАО",Москва,Научные исследования и разработки в области естественных и технических наук прочие,Малые предприятия,2018,72.19,72.0,gazovaya_promyshlennost,39.0,243496.0,239459.0,105761.0,306443.0,306443.0,120094.0,45630.0,260813.0,233298.0,206591.0,,4037.0,1068.0,2762.0,37156.0,-0.0,0.0
Наш карандаш,Москва,"НАШ КАРАНДАШ, ООО",Москва,Торговля розничная писчебумажными и канцелярскими товарами в специализированных магазинах,Малые предприятия,2018,47.62.2,47.0,torgovlya,14.0,116418.0,116824.0,10050.0,16149.0,16149.0,-30.0,-1066.0,17215.0,115568.0,114810.0,,-406.0,-830.0,852.0,,-0.0,0.0
Некст (Астрахань),Астрахань,"НЕКСТ, ООО",Астраханская область,Производство пластмасс и синтетических смол в первичных формах,Малые предприятия,2017,20.16,20.0,himicheskaya_promyshlennost,58.0,296352.0,283072.0,21184.0,114804.0,114804.0,50165.0,21589.0,93215.0,290179.0,228218.0,44.0,13280.0,10684.0,13280.0,13659.0,0.0,0.0
Неометрия,Краснодар,"НЕОМЕТРИЯ, ООО",Краснодарский край,Консультирование по вопросам коммерческой деятельности и управления,Малые предприятия,2019,70.22,70.0,stroitelstvo,41.0,198075.0,138263.0,319479.0,377803.0,377803.0,294810.0,268019.0,109784.0,184467.0,49085.0,,59811.0,53309.0,4752.0,,0.0,0.0
Неон,Москва,"НЕОН, ООО",Москва,Деятельность в области архитектуры,Малые предприятия,2017,71.11,71.0,stroitelstvo,51.0,636824.0,616113.0,133577.0,473035.0,473035.0,-53147.0,56275.0,416760.0,612377.0,473684.0,,21482.0,3914.0,34926.0,59590.0,0.0,0.0
Нефтегазснаб,Южно-Сахалинск,"НЕФТЕГАЗСНАБ, ООО",Сахалинская область,Торговля оптовая неспециализированная,Малые предприятия,2017,46.9,46.0,neftyanaya_promyshlennost,34.0,413908.0,402900.0,167227.0,640117.0,640117.0,350938.0,288845.0,351272.0,396169.0,288051.0,83659.0,11008.0,8680.0,14933.0,16371.0,0.0,0.0
Нефтепродуктсервис,Москва,"НЕФТЕПРОДУКТСЕРВИС, ООО",Москва,Хранение и складирование нефти и продуктов ее переработки,Средние предприятия,2017,52.10.21,52.0,neftyanaya_promyshlennost,51.0,727795.0,721588.0,100371.0,211308.0,211308.0,20195.0,21546.0,189762.0,704847.0,530939.0,50766.0,6207.0,4040.0,4894.0,38326.0,0.0,0.0
Нобилис,Москва,"НОБИЛИС, ООО",Москва,Разработка компьютерного программного обеспечения,Малые предприятия,2017,62.01,62.0,informacionnye_tehnologii,20.0,126934.0,105931.0,26823.0,104413.0,104413.0,43737.0,48558.0,59678.0,119547.0,69234.0,18522.0,22432.0,18083.0,23262.0,58826.0,0.0,0.0
НоваПродукт АГ (NovaProdukt AG),Подольск,"НОВАПРОДУКТ АГ, ООО",Московская область,Производство детского питания и диетических пищевых продуктов,Средние предприятия,2013,10.86,10.0,pishhevaya_promyshlennost,126.0,1395091.0,1346650.0,123901.0,497107.0,497107.0,192348.0,82251.0,415263.0,750762.0,500157.0,106906.0,28588.0,20743.0,44233.0,141756.0,0.0,0.0
Новапорт Холдинг,Москва,"НОВАПОРТ ХОЛДИНГ, ООО",Москва,Деятельность аэропортовая,Малые предприятия,2016,52.23.11,52.0,transport,20.0,7099680.0,1804761.0,487957.0,23018178.0,23018178.0,410662.0,18558875.0,4459304.0,342596.0,12734.0,,5799192.0,5776930.0,-611014.0,594935.0,52.0,-1.0
Новое качество дорог,Москва,"НОВОЕ КАЧЕСТВО ДОРОГ, АО",Москва,Деятельность по эксплуатации автомобильных дорог и автомагистралей,Средние предприятия,2017,52.21.22,52.0,transport,196.0,1202380.0,713727.0,140530.0,645962.0,645962.0,-124541.0,206092.0,439870.0,990212.0,436123.0,,488653.0,421982.0,460400.0,333480.0,0.0,0.0
Новолипецкий Газобетон,Липецк,"НОВОЛИПЕЦКИЙ ГАЗОБЕТОН, ООО",Липецкая область,Производство изделий из бетона для использования в строительстве,Средние предприятия,2017,23.61,23.0,stroitelstvo,115.0,657255.0,507755.0,189484.0,467081.0,467081.0,209815.0,317611.0,149470.0,653258.0,460491.0,,149501.0,118917.0,152550.0,96273.0,0.0,0.0
Новотранс Актив,Москва,"НОВОТРАНС АКТИВ, ООО",Москва,"Деятельность заказчика-застройщика, генерального подрядчика",Средние предприятия,2017,71.12.2,71.0,logistika,54.0,944213.0,628333.0,1062162.0,10640459.0,10640459.0,387958.0,9045228.0,1595231.0,799400.0,605204.0,,267506.0,249515.0,85453.0,139413.0,1.0,0.0
Новошип (Новороссийское морское пароходство),Новороссийск,"НОВОШИП, ПАО",Краснодарский край,"Деятельность вспомогательная, связанная с морским транспортом",Средние предприятия,2016,52.22.1,52.0,transport,134.0,5674405.0,1225754.0,75499.0,6765096.0,6765096.0,258685.0,1762251.0,5002845.0,694574.0,206857.0,2046.0,4972135.0,4320112.0,-43217.0,326562.0,7.0,0.0
Новые Решения,Саранск,"НОВЫЕ РЕШЕНИЯ, ООО",Мордовия (Республика),"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Малые предприятия,2018,46.51,46.0,informacionnye_tehnologii,5.0,126683.0,122562.0,36274.0,74784.0,74784.0,26057.0,21379.0,53405.0,126085.0,113022.0,6872.0,4121.0,3315.0,5433.0,875.0,0.0,0.0
Ноктюрн,Нижний Новгород,"НОКТЮРН, ООО",Нижегородская область,Торговля оптовая парфюмерными и косметическими товарами,Средние предприятия,2013,46.45,46.0,logistika,131.0,1303208.0,1261525.0,133663.0,467955.0,467955.0,171091.0,238671.0,229284.0,1252919.0,1065852.0,166369.0,32180.0,24838.0,42422.0,46616.0,0.0,0.0
Норд-Авто,Тверь,"НОРД-АВТО, ООО",Тверская область,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Средние предприятия,2013,45.11.2,45.0,torgovlya,54.0,1084781.0,1063098.0,82493.0,461522.0,461522.0,98395.0,204613.0,256914.0,1006197.0,933748.0,63186.0,16608.0,14409.0,29540.0,18013.0,0.0,-0.0
Нордэкс Экспресс,Санкт-Петербург,"НОРДЭКС ЭКСПРЕСС, АО",Санкт-Петербург,"Деятельность вспомогательная прочая, связанная с перевозками",Малые предприятия,2017,52.29,52.0,logistika,39.0,327302.0,320293.0,36761.0,166858.0,166858.0,-19597.0,39519.0,127339.0,311012.0,290287.0,,7008.0,4752.0,7651.0,,0.0,0.0
Нью-Йорк Моторс-Сибирь,Кемерово,"НЬЮ- ЙОРК МОТОРС- СИБИРЬ, ЗАО",Кемеровская область,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Малые предприятия,2013,45.11.2,45.0,torgovlya,27.0,379523.0,369004.0,89642.0,244964.0,244964.0,79865.0,104651.0,140314.0,370114.0,353231.0,23395.0,7821.0,6307.0,8224.0,10436.0,0.0,-0.0
ОЖК (Чистогорье),Екатеринбург,"ОЖК, ООО",Свердловская область,Деятельность по складированию и хранению,Малые предприятия,2017,52.1,52.0,pishhevaya_promyshlennost,54.0,154887.0,141897.0,41109.0,119253.0,119253.0,29388.0,33347.0,85906.0,152794.0,128949.0,,12990.0,10391.0,8525.0,,0.0,0.0
ОКАН (Объединенная компания Арматура и насосы),Санкт-Петербург,"ОКАН, АО",Санкт-Петербург,Торговля оптовая прочими машинами и оборудованием,Малые предприятия,2017,46.69,46.0,torgovlya,56.0,934312.0,864605.0,686851.0,1149387.0,1149387.0,105869.0,182655.0,966732.0,747711.0,463898.0,7944.0,69705.0,54076.0,74879.0,120686.0,0.0,0.0
ОКО (Оценка качества образования),Москва,"ОКО, ООО",Москва,"Торговля оптовая неспециализированная пищевыми продуктами, напитками и табачными изделиями",Малые предприятия,2017,46.39,46.0,obrazovanie,4.0,50418.0,44654.0,21609.0,25800.0,25800.0,19174.0,17022.0,8777.0,50378.0,43636.0,,5764.0,5269.0,2616.0,,0.0,0.0
Объект-Эксперт,Кострома,"ОБЪЕКТ-ЭКСПЕРТ, ООО",Костромская область,Производство электромонтажных работ,Малые предприятия,2017,43.21,43.0,stroitelstvo,34.0,1053059.0,1048116.0,329476.0,1125388.0,1125388.0,-216546.0,86972.0,1038416.0,681768.0,450759.0,1458.0,4943.0,2179.0,13249.0,104308.0,0.0,0.0
Олданс,Пермь,"ОЛДАНС, ЗАО",Пермский край,"Производство прочих изделий из пластмасс, не включенных в другие группировки, кроме устройств пломбировочных из пластика",Малые предприятия,2017,22.29.2,22.0,himicheskaya_promyshlennost,65.0,114870.0,93858.0,18722.0,109510.0,109510.0,66394.0,98322.0,17907.0,105332.0,63678.0,3441.0,21012.0,16792.0,20739.0,22629.0,0.0,0.0
Олимпик Стар,Москва,"ОЛИМПИК СТАР, ООО",Москва,Деятельность фитнес-центров,Малые предприятия,2019,93.13,93.0,industriya_razvlecheniy,70.0,195621.0,265996.0,136121.0,681221.0,681221.0,-10562.0,185153.0,496068.0,193709.0,172234.0,25499.0,-70375.0,-57729.0,-39078.0,107317.0,-0.0,-0.0
Оллфолейблс Рус,Санкт-Петербург,"ОЛЛФОЛЕЙБЛС РУС, ООО",Санкт-Петербург,Прочие виды полиграфической деятельности,Малые предприятия,2013,18.12,18.0,poligraficheskaya_deyatelnost,91.0,657865.0,674026.0,102472.0,526226.0,526226.0,139658.0,266512.0,259825.0,521910.0,481190.0,17076.0,-27069.0,-25190.0,-21967.0,69400.0,-0.0,-0.0
Оптосенс,Санкт-Петербург,"ОПТОСЕНС, ООО",Санкт-Петербург,Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,Малые предприятия,2017,26.5,26.0,elektrotehnika,96.0,823565.0,557291.0,131675.0,1256736.0,1256736.0,657649.0,1021427.0,235429.0,656142.0,323287.0,20133.0,266274.0,207849.0,272164.0,146636.0,0.0,0.0
Оргсинтез,Нижний Новгород,"ОРГСИНТЕЗ, ОАО",Нижегородская область,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Малые предприятия,2013,68.20.2,68.0,himicheskaya_promyshlennost,93.0,294108.0,324834.0,98184.0,596888.0,596888.0,-60479.0,30425.0,566463.0,301921.0,229127.0,3315.0,-31736.0,-28311.0,1897.0,48789.0,-0.0,0.0
Оренбург-Авто-Люкс,Оренбург,"ОРЕНБУРГ-АВТО-ЛЮКС, ООО",Оренбургская область,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Средние предприятия,2013,45.11.2,45.0,torgovlya,29.0,716964.0,671364.0,33824.0,134952.0,134952.0,60677.0,84630.0,50323.0,707343.0,644905.0,13026.0,37648.0,32122.0,39509.0,13728.0,0.0,0.0
Орион Экспресс (Телекарта),Москва,"ОРИОН ЭКСПРЕСС, ООО",Москва,Деятельность в области телевизионного вещания,Средние предприятия,2013,60.2,60.0,telekommunikaciya,134.0,2995295.0,2814781.0,349658.0,1042691.0,1042691.0,-1310697.0,-2774382.0,3817073.0,2518749.0,1834222.0,312822.0,-51693.0,-80630.0,180822.0,272163.0,-0.0,0.0
Орто-Космос,Мытищи,"ОРТО-КОСМОС, ООО НПФ",Московская область,Производство медицинских инструментов и оборудования,Малые предприятия,2017,32.5,32.0,farmacevtika,54.0,566155.0,482194.0,85718.0,240660.0,240660.0,163162.0,200442.0,40218.0,540066.0,312498.0,18400.0,83961.0,65497.0,77149.0,114930.0,0.0,0.0
Открытый код,Самара,"ОТКРЫТЫЙ КОД, ООО",Самарская область,Разработка компьютерного программного обеспечения,Малые предприятия,2017,62.01,62.0,informacionnye_tehnologii,95.0,304549.0,287261.0,67301.0,680780.0,680780.0,44258.0,371484.0,451518.0,263016.0,245627.0,,17289.0,16516.0,23123.0,97995.0,0.0,0.0
ОфисСтрой-М,Москва,"ОФИССТРОЙ-М, ООО",Москва,Аренда и управление собственным или арендованным недвижимым имуществом,Малые предприятия,2017,68.2,68.0,stroitelstvo,31.0,214664.0,211591.0,20764.0,312374.0,312374.0,-12812.0,130382.0,181991.0,170756.0,136513.0,,3073.0,1806.0,3679.0,64719.0,-0.0,0.0
Офисная техника Джетком (Jetcom),Москва,"ОФИСНАЯ ТЕХНИКА ДЖЕТКОМ, ООО",Москва,Торговля оптовая прочей офисной техникой и оборудованием,Малые предприятия,2015,46.66,46.0,orgtehnika,81.0,342301.0,314886.0,40177.0,163997.0,163997.0,108205.0,70266.0,93731.0,356219.0,187830.0,125343.0,32763.0,25857.0,38677.0,65642.0,0.0,0.0
ПГЭМ (ПромГидроЭнергоМаш),Москва,"ПГЭМ, ООО",Москва,Торговля оптовая подъемно-транспортными машинами и оборудованием,Малые предприятия,2014,46.69.3,46.0,torgovlya,33.0,477392.0,469754.0,252522.0,444951.0,444951.0,41585.0,83258.0,361694.0,597413.0,472272.0,1492.0,21635.0,16383.0,20202.0,48385.0,0.0,0.0
ПЛЦ АС,Москва,"ПЛЦ АС, ООО",Москва,Производство электрической распределительной и регулирующей аппаратуры,Малые предприятия,2014,27.12,27.0,mashinostroenie,24.0,297574.0,238588.0,74429.0,229304.0,229304.0,163066.0,171644.0,58563.0,277128.0,157682.0,12961.0,56766.0,45296.0,56434.0,27569.0,0.0,0.0
ПО Вектор,Красноярск,"ПО ВЕКТОР, ООО",Красноярский край,"Торговля оптовая автомобильными деталями, узлами и принадлежностями, кроме деятельности агентов",Малые предприятия,2014,45.31.1,45.0,torgovlya,97.0,681913.0,698526.0,154449.0,347112.0,347112.0,55760.0,-3297.0,350409.0,681481.0,625650.0,18158.0,-5545.0,-8453.0,272.0,103518.0,-0.0,-0.0
ПОЭЗ Ульяновск (Портовая особая экономическая зона Ульяновск),Ульяновск,"ПОЭЗ УЛЬЯНОВСК, АО",Ульяновская область,"Деятельность в области архитектуры, связанная с созданием архитектурного объекта",Малые предприятия,2017,71.11.1,71.0,gosudarstvennye_struktury,40.0,213117.0,253178.0,95669.0,3680029.0,3680029.0,595008.0,3522874.0,157155.0,135257.0,151586.0,,-40060.0,-30750.0,-71150.0,40746.0,-1.0,-1.0
Паллетцентр,Рязань,"ПАЛЛЕТЦЕНТР, ООО",Рязанская область,Торговля оптовая древесным сырьем и необработанными лесоматериалами,Малые предприятия,2017,46.73.1,46.0,lesnoe_hozyaystvo,43.0,300516.0,255812.0,49233.0,86453.0,86453.0,45411.0,65481.0,20973.0,297581.0,190121.0,40787.0,44704.0,35802.0,44630.0,,0.0,0.0
Парад-плюс,Кондопога,"ПАРАД-ПЛЮС, ООО",Карелия (Республика),Рыбоводство,Малые предприятия,2015,03.2,3.0,selskoe_hozyaystvo,51.0,396435.0,373311.0,90409.0,467063.0,467063.0,271808.0,195659.0,271404.0,325911.0,268556.0,4998.0,18769.0,18580.0,34453.0,34985.0,0.0,0.0
Парфюмерия XXI века,Москва,"ПАРФЮМЕРИЯ XXI ВЕКА, ООО",Москва,Торговля оптовая парфюмерными и косметическими товарами,Малые предприятия,2017,46.45,46.0,tovary_narodnogo_potrebleniya,14.0,215587.0,194947.0,47212.0,134549.0,134549.0,99059.0,93997.0,40552.0,212713.0,188103.0,,20518.0,16512.0,9248.0,,0.0,0.0
Пенткрофт Фарма,Москва,"ПЕНТКРОФТ ФАРМА, ЗАО",Москва,Торговля оптовая фармацевтической продукцией,Малые предприятия,2018,46.46,46.0,farmacevtika,65.0,481424.0,451484.0,65678.0,213420.0,213420.0,107663.0,72986.0,140434.0,455228.0,269904.0,139506.0,29940.0,23116.0,36120.0,,0.0,0.0
Первое музыкальное издательство,Москва,"ПЕРВОЕ МУЗЫКАЛЬНОЕ ИЗДАТЕЛЬСТВО, ООО",Москва,Деятельность в области звукозаписи и издания музыкальных произведений,Средние предприятия,2015,59.2,59.0,industriya_razvlecheniy,56.0,1501723.0,1219520.0,251676.0,786582.0,786582.0,506729.0,572195.0,214387.0,961107.0,578848.0,10704.0,229934.0,181585.0,228642.0,100003.0,0.0,0.0
Перемена,Воронеж,"ПЕРЕМЕНА, ООО",Воронежская область,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Малые предприятия,2013,46.51,46.0,informacionnye_tehnologii,41.0,578780.0,564639.0,101925.0,148358.0,148358.0,24729.0,22563.0,125796.0,461317.0,383036.0,27428.0,10288.0,8228.0,12701.0,,0.0,0.0
Пластик (тм РВК),Оренбург,"ПЛАСТИК, ООО",Оренбургская область,"Производство пластмассовых плит, полос, труб и профилей",Средние предприятия,2014,22.21,22.0,himicheskaya_promyshlennost,196.0,2009684.0,1968805.0,332683.0,1087016.0,1087016.0,807332.0,505071.0,582087.0,1347741.0,1058258.0,86339.0,66464.0,51322.0,107192.0,75448.0,0.0,0.0
Пластмастер,Санкт-Петербург,"ПЛАСТМАСТЕР, ООО",Санкт-Петербург,Торговля оптовая играми и игрушками,Малые предприятия,2013,46.49.42,46.0,tovary_narodnogo_potrebleniya,21.0,230734.0,228645.0,67285.0,87195.0,87195.0,52167.0,51550.0,35645.0,273928.0,209477.0,47257.0,2026.0,1312.0,3092.0,7281.0,0.0,0.0
"Племзавод Детскосельский, сельскохозяйственный концерн",Санкт-Петербург,"ПЛЕМЗАВОД ДЕТСКОСЕЛЬСКИЙ, СПК",Санкт-Петербург,"Разведение молочного крупного рогатого скота, производство сырого молока",Малые предприятия,2013,01.41,1.0,selskoe_hozyaystvo,,,,3327017.0,7777728.0,7777728.0,2186843.0,4839769.0,2937959.0,779039.0,610552.0,38618.0,217684.0,164541.0,316828.0,169573.0,0.0,0.0
Подшипник-Сервис ДВ,Владивосток,"ПОДШИПНИК-СЕРВИС ДВ, ООО",Приморский край,"Торговля оптовая прочими машинами, оборудованием и принадлежностями",Средние предприятия,2017,46.6,46.0,torgovlya,58.0,555048.0,458104.0,71953.0,309604.0,309604.0,51014.0,99356.0,210248.0,549148.0,389206.0,60990.0,96944.0,77353.0,98050.0,,0.0,0.0
Полимедиа-Регион,Воронеж,"ПОЛИМЕДИА-РЕГИОН, ООО",Воронежская область,Торговля оптовая прочей офисной техникой и оборудованием,Малые предприятия,2016,46.66,46.0,orgtehnika,47.0,427163.0,409041.0,58648.0,145138.0,145138.0,52881.0,55957.0,89697.0,426199.0,317555.0,80523.0,20278.0,16098.0,21955.0,44753.0,0.0,0.0
Полимеркомплект,Курск,"ПОЛИМЕРКОМПЛЕКТ, ООО",Курская область,"Производство прочих готовых металлических изделий, не включенных в другие группировки",Малые предприятия,2013,25.99,25.0,stroitelstvo,45.0,360375.0,353892.0,54268.0,158625.0,158625.0,93829.0,97017.0,61993.0,306276.0,280591.0,16388.0,4813.0,3989.0,9971.0,37510.0,0.0,0.0
Полихим Воронеж,Воронеж,"ПОЛИХИМ-ВОРОНЕЖ, ООО ПРЕДПРИЯТИЕ",Воронежская область,Деятельность по упаковыванию товаров,Средние предприятия,2017,82.92,82.0,himicheskaya_promyshlennost,95.0,883553.0,743172.0,56488.0,319962.0,319962.0,196901.0,279994.0,39967.0,871439.0,703461.0,,140382.0,108593.0,137386.0,60197.0,0.0,0.0
Право.ру (Pravo.Tech),Москва,"ПРАВО.РУ, АО",Москва,Разработка компьютерного программного обеспечения,Средние предприятия,2017,62.01,62.0,internet_servisy,227.0,745100.0,725935.0,78649.0,877226.0,877226.0,-172466.0,530738.0,505942.0,647003.0,124710.0,,19165.0,16188.0,16732.0,494706.0,0.0,0.0
Практик-А,Пермь,"ПРАКТИК-А, ООО",Пермский край,Торговля розничная легковыми автомобилями и легкими автотранспортными средствами в специализированных магазинах,Средние предприятия,2014,45.11.2,45.0,torgovlya,79.0,1555338.0,1488447.0,27917.0,338781.0,338781.0,174534.0,175887.0,162895.0,1339176.0,1217600.0,47762.0,48288.0,36910.0,48900.0,56392.0,0.0,0.0
Премо Инк (Premo Ink),Москва,"ПРЕМО ИНК, ООО",Москва,Торговля оптовая лакокрасочными материалами,Средние предприятия,2013,46.73.4,46.0,himicheskaya_promyshlennost,58.0,2852299.0,2607709.0,645344.0,1274175.0,1274175.0,842260.0,810918.0,463256.0,2516434.0,1927062.0,172171.0,196398.0,155798.0,197712.0,111551.0,0.0,0.0
Приморский завод,Находка,"ПРИМОРСКИЙ ЗАВОД, АО",Приморский край,Аренда и управление собственным или арендованным нежилым недвижимым имуществом,Малые предприятия,2013,68.20.2,68.0,nedvizhimost,36.0,249661.0,149393.0,59877.0,632914.0,632914.0,84036.0,581158.0,51756.0,130970.0,19570.0,,68306.0,59304.0,37951.0,26910.0,0.0,0.0
ПринтэрА,Москва,"ПРИНТЭР.А., ООО",Москва,Прочие виды полиграфической деятельности,Малые предприятия,2017,18.12,18.0,reklama,33.0,126246.0,121161.0,46848.0,85322.0,85322.0,52889.0,33348.0,51974.0,123488.0,75796.0,9319.0,5005.0,3903.0,7259.0,18663.0,0.0,0.0
ПроФреш,Москва,"ПРОФРЕШ, ООО",Москва,Деятельность автомобильного грузового транспорта,Средние предприятия,2018,49.41,49.0,logistika,143.0,1266801.0,1123582.0,75632.0,611522.0,611522.0,-19615.0,70719.0,540803.0,1247472.0,1005032.0,,143219.0,114433.0,158545.0,120911.0,0.0,0.0
Проект 1,Санкт-Петербург,"ПРОЕКТ 77/7, ООО",Санкт-Петербург,Строительство жилых и нежилых зданий,Малые предприятия,2017,41.2,41.0,zhkh,2.0,310448.0,183418.0,758865.0,868460.0,868460.0,356362.0,202796.0,665664.0,284118.0,81103.0,1573.0,127031.0,101257.0,135083.0,7768.0,0.0,0.0
Производственная Группа (Костромакабель),Кострома,"ПРОИЗВОДСТВЕННАЯ ГРУППА, ООО",Костромская область,Производство волоконно-оптических кабелей,Средние предприятия,2018,27.31,27.0,stroitelstvo,126.0,721267.0,665551.0,99384.0,293182.0,293182.0,85186.0,65706.0,227476.0,683486.0,509392.0,49352.0,55794.0,44778.0,58992.0,72830.0,0.0,0.0
Пролог,Обнинск,"ПРОЛОГ, ООО",Калужская область,"Производство инструментов и приборов для измерения, тестирования и навигации",Средние предприятия,2017,26.51,26.0,mashinostroenie,133.0,1103295.0,894540.0,387712.0,781733.0,781733.0,419514.0,547389.0,234343.0,1094437.0,712305.0,,208754.0,74584.0,209486.0,39007.0,0.0,0.0
Промсервис-Юг,Краснодар,"КОМПАНИЯ ПРОМСЕРВИС-ЮГ, ООО",Краснодарский край,Торговля оптовая прочими строительными материалами и изделиями,Малые предприятия,2018,46.73.6,46.0,torgovlya,9.0,276933.0,273214.0,10876.0,48104.0,48104.0,33546.0,12242.0,35862.0,274538.0,251989.0,16675.0,3719.0,3286.0,3719.0,1948.0,0.0,0.0
Промэнерго Автоматика,Москва,"ПРОМЭНЕРГО АВТОМАТИКА, ООО",Москва,"Торговля оптовая прочими машинами, приборами, аппаратурой и оборудованием общепромышленного и специального назначения",Средние предприятия,2019,46.69.9,46.0,informacionnye_tehnologii,51.0,1436296.0,1277441.0,141721.0,605129.0,605129.0,245619.0,402870.0,202305.0,1389714.0,1075938.0,163609.0,158855.0,125315.0,153165.0,111121.0,0.0,0.0
Птицефабрика в Белоусово,Калуга,"ПТИЦЕФАБРИКА В БЕЛОУСОВО, ООО",Калужская область,Разведение сельскохозяйственной птицы,Средние предприятия,2013,01.47,1.0,selskoe_hozyaystvo,218.0,1242028.0,1429313.0,59977.0,1414111.0,1414111.0,-220375.0,23659.0,1390452.0,1070655.0,1088302.0,39541.0,-146979.0,-147211.0,-83692.0,106122.0,-0.0,-0.0
